time,infection
1954.186301,2520
1954.189041,2552
1954.191781,2580
1954.194521,2573
1954.19726,2566
1954.2,2561
1954.20274,2555
1954.205479,2551
1954.208219,2547
1954.210959,2544
1954.213699,2557
1954.216438,2568
1954.219178,2579
1954.221918,2587
1954.224658,2595
1954.227397,2602
1954.230137,2608
1954.232877,2577
1954.235616,2549
1954.238356,2525
1954.241096,2504
1954.243836,2486
1954.246575,2470
1954.249315,2456
1954.252055,2480
1954.254795,2501
1954.257534,2520
1954.260274,2536
1954.263014,2550
1954.265753,2562
1954.268493,2573
1954.271233,2579
1954.273973,2583
1954.276712,2587
1954.279452,2591
1954.282192,2594
1954.284932,2597
1954.287671,2599
1954.290411,2549
1954.293151,2505
1954.29589,2466
1954.29863,2433
1954.30137,2403
1954.30411,2377
1954.306849,2355
1954.309589,2375
1954.312329,2393
1954.315068,2409
1954.317808,2423
1954.320548,2435
1954.323288,2446
1954.326027,2455
1954.328767,2431
1954.331507,2409
1954.334247,2391
1954.336986,2375
1954.339726,2360
1954.342466,2348
1954.345205,2337
1954.347945,2291
1954.350685,2251
1954.353425,2216
1954.356164,2185
1954.358904,2158
1954.361644,2135
1954.364384,2114
1954.367123,2092
1954.369863,2073
1954.372603,2056
1954.375342,2041
1954.378082,2029
1954.380822,2017
1954.383562,2007
1954.386301,2035
1954.389041,2059
1954.391781,2080
1954.394521,2099
1954.39726,2115
1954.4,2129
1954.40274,2142
1954.405479,2165
1954.408219,2185
1954.410959,2202
1954.413699,2218
1954.416438,2231
1954.419178,2243
1954.421918,2253
1954.424658,2375
1954.427397,2482
1954.430137,2576
1954.432877,2657
1954.435616,2729
1954.438356,2792
1954.441096,2846
1954.443836,2890
1954.446575,2929
1954.449315,2962
1954.452055,2992
1954.454795,3017
1954.457534,3040
1954.460274,3060
1954.463014,3121
1954.465753,3175
1954.468493,3223
1954.471233,3264
1954.473973,3300
1954.476712,3332
1954.479452,3359
1954.482192,3343
1954.484932,3329
1954.487671,3317
1954.490411,3306
1954.493151,3296
1954.49589,3288
1954.49863,3281
1954.50137,3311
1954.50411,3337
1954.506849,3360
1954.509589,3380
1954.512329,3398
1954.515068,3413
1954.517808,3427
1954.520548,3382
1954.523288,3343
1954.526027,3308
1954.528767,3278
1954.531507,3252
1954.534247,3229
1954.536986,3209
1954.539726,3248
1954.542466,3282
1954.545205,3312
1954.547945,3338
1954.550685,3361
1954.553425,3381
1954.556164,3399
1954.558904,3398
1954.561644,3397
1954.564384,3396
1954.567123,3396
1954.569863,3395
1954.572603,3395
1954.575342,3395
1954.578082,3455
1954.580822,3508
1954.583562,3554
1954.586301,3594
1954.589041,3629
1954.591781,3660
1954.594521,3687
1954.59726,3638
1954.6,3595
1954.60274,3558
1954.605479,3525
1954.608219,3496
1954.610959,3471
1954.613699,3449
1954.616438,3422
1954.619178,3398
1954.621918,3377
1954.624658,3358
1954.627397,3342
1954.630137,3328
1954.632877,3316
1954.635616,3224
1954.638356,3144
1954.641096,3074
1954.643836,3013
1954.646575,2959
1954.649315,2912
1954.652055,2871
1954.654795,2755
1954.657534,2653
1954.660274,2563
1954.663014,2485
1954.665753,2417
1954.668493,2357
1954.671233,2305
1954.673973,2243
1954.676712,2189
1954.679452,2141
1954.682192,2100
1954.684932,2063
1954.687671,2032
1954.690411,2004
1954.693151,1907
1954.69589,1822
1954.69863,1748
1954.70137,1682
1954.70411,1626
1954.706849,1576
1954.709589,1532
1954.712329,1522
1954.715068,1514
1954.717808,1506
1954.720548,1500
1954.723288,1494
1954.726027,1489
1954.728767,1485
1954.731507,1501
1954.734247,1515
1954.736986,1528
1954.739726,1538
1954.742466,1548
1954.745205,1556
1954.747945,1564
1954.750685,1631
1954.753425,1689
1954.756164,1741
1954.758904,1785
1954.761644,1825
1954.764384,1859
1954.767123,1889
1954.769863,1988
1954.772603,2075
1954.775342,2151
1954.778082,2217
1954.780822,2275
1954.783562,2326
1954.786301,2370
1954.789041,2474
1954.791781,2564
1954.794521,2643
1954.79726,2713
1954.8,2773
1954.80274,2826
1954.805479,2873
1954.808219,3006
1954.810959,3123
1954.813699,3225
1954.816438,3315
1954.819178,3393
1954.821918,3461
1954.824658,3521
1954.827397,3622
1954.830137,3710
1954.832877,3788
1954.835616,3855
1954.838356,3914
1954.841096,3966
1954.843836,4011
1954.846575,4172
1954.849315,4313
1954.852055,4436
1954.854795,4543
1954.857534,4638
1954.860274,4720
1954.863014,4792
1954.865753,4795
1954.868493,4797
1954.871233,4799
1954.873973,4801
1954.876712,4802
1954.879452,4803
1954.882192,4805
1954.884932,4878
1954.887671,4943
1954.890411,4999
1954.893151,5049
1954.89589,5092
1954.89863,5130
1954.90137,5163
1954.90411,5272
1954.906849,5368
1954.909589,5452
1954.912329,5526
1954.915068,5590
1954.917808,5646
1954.920548,5695
1954.923288,5840
1954.926027,5966
1954.928767,6076
1954.931507,6172
1954.934247,6257
1954.936986,6331
1954.939726,6395
1954.942466,6492
1954.945205,6577
1954.947945,6652
1954.950685,6717
1954.953425,6773
1954.956164,6823
1954.958904,6867
1954.961644,6949
1954.964384,7021
1954.967123,7085
1954.969863,7140
1954.972603,7188
1954.975342,7231
1954.978082,7268
1954.980822,7191
1954.983562,7124
1954.986301,7065
1954.989041,7014
1954.991781,6969
1954.994521,6929
1954.99726,6895
1955,7220
